timestamp_utc,Ticker,MA20,MA50,MA200,RSI,MACD,MACD_Signal,Avg20_Liquidity_EGP,Liquidity_Spike,Support_20D,Resistance_20D,Support_50D,Resistance_50D,Support_Distance_%,Resistance_Distance_%,Return_5D_%,Return_20D_%,Volatility_20D_%,Breakout_20D
2026-05-27T17:02:11.220457+00:00,EAST.CA,38.33,37.02,37.64,62.54,0.2099,0.3281,67801141.44,1.8,36.41,40.11,33.54,40.12,4.37,5.55,-1.27,-5.25,1.54,False
2026-05-27T17:02:11.220457+00:00,ASCM.CA,46.9,43.9,43.08,58.18,1.1337,1.3285,38418677.0,0.24,43.76,50.98,39.63,50.98,8.52,7.35,0.19,5.65,2.3,False
2026-05-27T17:02:11.220457+00:00,ODIN.CA,1.95,1.85,1.8,43.75,0.0151,0.0311,10525931.1,1.51,1.89,2.07,1.65,2.07,1.06,8.38,-1.55,-1.55,1.51,False
2026-05-27T17:02:11.220457+00:00,ISMA.CA,21.74,17.04,13.92,94.2,2.5994,2.2943,53605092.22,0.42,16.85,27.9,12.68,27.9,56.2,6.0,9.21,54.19,2.72,True
2026-05-27T17:02:11.220457+00:00,EGCH.CA,13.06,12.17,11.65,73.03,0.5974,0.5443,119628596.78,0.27,11.64,14.98,11.05,14.98,18.13,8.95,-4.25,14.77,2.85,False
2026-05-27T17:02:11.220457+00:00,ADPC.CA,3.85,3.67,3.39,42.99,0.0501,0.0847,19901047.1,2.91,3.54,4.45,3.36,4.45,1.69,23.61,-14.08,-4.0,2.36,False
2026-05-27T17:02:11.220457+00:00,RAYA.CA,6.99,6.06,4.13,69.38,0.424,0.4318,127941265.19,0.64,6.2,8.0,5.02,8.0,20.65,6.95,0.4,16.69,4.38,False
2026-05-27T17:02:11.220457+00:00,TMGH.CA,96.22,87.63,73.91,48.54,2.2484,2.744,575656956.84,0.91,91.87,101.4,73.49,101.4,4.5,5.63,2.45,3.56,1.82,False
2026-05-27T17:02:11.220457+00:00,EMFD.CA,10.66,9.88,9.32,47.1,0.1288,0.2341,108192973.23,0.13,9.83,11.39,8.92,11.39,6.82,8.48,0.86,2.04,2.32,False
2026-05-27T17:02:11.220457+00:00,OCDI.CA,21.91,20.63,19.93,44.27,0.0472,0.3226,44840206.31,0.34,20.19,23.67,17.45,23.67,5.25,11.39,0.0,-2.57,1.87,False
2026-05-27T17:02:11.220457+00:00,OIH.CA,1.52,1.43,1.21,42.11,0.0118,0.0253,150402870.41,0.28,1.44,1.66,1.2,1.66,2.78,12.16,-3.9,-2.63,1.41,False
2026-05-27T17:02:11.220457+00:00,PHAR.CA,86.88,81.78,72.05,44.54,0.9491,1.8204,28356010.0,1.0,82.62,92.4,74.18,92.4,2.07,9.57,-2.23,1.63,1.55,False
2026-05-27T17:02:11.220457+00:00,ZMID.CA,5.93,5.49,5.1,48.18,0.1249,0.1716,173438132.17,0.42,5.66,6.57,4.97,6.57,2.77,12.89,-4.43,0.55,1.96,False
2026-05-27T17:02:11.220457+00:00,GBCO.CA,27.14,26.01,25.91,48.38,-0.0747,0.2006,111753989.6,0.9,25.25,29.5,23.61,29.5,5.35,10.9,0.38,-0.56,2.48,False
2026-05-27T17:02:11.220457+00:00,ABUK.CA,87.14,84.99,59.47,47.59,0.5734,1.0258,137622073.18,1.78,78.0,92.0,76.39,92.45,10.26,6.98,-4.44,-3.17,1.9,False
2026-05-27T17:02:11.220457+00:00,HDBK.CA,145.9,136.0,93.06,41.06,1.1978,2.513,22787228.88,0.42,140.0,157.0,103.25,157.85,2.68,9.22,2.65,-0.27,1.5,False
2026-05-27T17:02:11.220457+00:00,MILS.CA,127.53,112.27,109.03,58.36,6.8114,7.42,28173067.93,0.29,107.08,153.0,95.6,153.0,23.05,16.12,-7.3,22.48,5.76,False
2026-05-27T17:02:11.220457+00:00,BINV.CA,41.35,40.29,36.18,70.04,0.7252,0.559,10347578.06,0.71,38.0,45.0,36.9,45.0,14.47,3.45,3.28,7.89,1.69,False
2026-05-27T17:02:11.220457+00:00,SAUD.CA,23.09,20.92,15.84,45.8,0.4142,0.6902,15120825.19,0.62,21.61,25.1,17.01,25.1,6.2,9.37,3.05,4.56,2.16,False
2026-05-27T17:02:11.220457+00:00,ANFI.CA,14.24,12.35,8.35,51.67,0.4174,0.6,26190720.29,0.63,13.5,17.77,9.3,17.77,4.07,26.48,-0.14,-12.37,4.39,False
2026-05-27T17:02:11.220457+00:00,ARVA.CA,8.6,7.91,7.57,35.42,0.145,0.276,20061892.14,0.52,7.25,9.23,6.95,9.23,11.45,14.23,-4.27,10.99,3.55,False
2026-05-27T17:02:11.220457+00:00,EHDR.CA,2.28,2.14,1.65,36.11,0.0348,0.051,30509524.02,0.43,2.17,2.44,1.93,2.44,3.69,8.44,-0.44,0.9,1.69,False
2026-05-27T17:02:11.220457+00:00,MASR.CA,6.65,6.0,4.8,67.51,0.2777,0.3116,71468245.12,0.38,5.89,7.34,4.9,7.34,17.11,6.38,0.14,16.14,2.41,False
2026-05-27T17:02:11.220457+00:00,MPCI.CA,193.25,174.86,158.33,72.48,10.1455,10.4395,95470900.28,0.47,169.09,224.88,151.21,224.88,21.83,9.17,-1.67,19.07,2.71,False
2026-05-27T17:02:11.220457+00:00,MPRC.CA,31.37,29.62,29.8,55.01,0.4438,0.6472,15059938.11,0.74,30.01,33.0,25.55,33.0,3.63,6.11,0.29,-3.12,1.89,False
2026-05-27T17:02:11.220457+00:00,JUFO.CA,28.3,27.02,26.59,52.6,0.189,0.3752,51250540.72,0.24,26.51,29.95,23.48,29.95,5.96,6.62,0.32,-3.72,1.93,False
2026-05-27T17:02:11.220457+00:00,OLFI.CA,21.96,21.22,20.96,45.55,0.0247,0.1516,26486298.61,0.43,21.0,22.98,19.62,22.98,2.48,6.78,0.0,-4.23,1.36,False
2026-05-27T17:02:11.220457+00:00,PRMH.CA,2.19,2.09,1.59,62.69,0.0591,0.0587,10916742.27,0.55,2.01,2.35,1.83,2.35,12.44,3.98,2.26,12.44,2.78,False
2026-05-27T17:02:11.220457+00:00,CLHO.CA,15.05,13.53,12.0,53.47,0.6408,0.7184,40957342.04,0.17,12.83,16.6,11.85,16.6,17.85,9.79,-4.85,16.58,3.0,False
2026-05-27T17:02:11.220457+00:00,INFI.CA,101.0,93.17,102.99,59.51,2.8953,3.1778,21444343.15,0.36,90.02,112.5,85.0,112.5,15.1,8.58,2.6,13.26,2.88,False
2026-05-27T17:02:11.220457+00:00,CIRA.CA,23.75,20.27,17.54,81.2,2.2457,2.0805,27547499.37,0.38,18.81,28.4,16.6,28.4,42.32,6.09,0.04,40.3,3.68,False
2026-05-27T17:02:11.220457+00:00,MENA.CA,6.0,5.53,4.92,63.37,0.2345,0.2143,9147144.01,0.5,5.62,6.8,4.1,6.8,13.35,6.75,4.43,10.4,2.9,False
2026-05-27T17:02:11.220457+00:00,ELKA.CA,1.15,1.11,1.77,50.0,0.0097,0.014,28303611.02,0.46,1.1,1.25,1.02,1.25,4.55,8.7,-0.86,3.6,1.74,False
2026-05-27T17:02:11.220457+00:00,OFH.CA,0.63,0.59,0.61,35.11,0.0039,0.0104,19327193.22,0.72,0.6,0.65,0.52,0.66,1.0,7.92,-4.87,-4.42,1.23,False
